 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR_5A_P3_guides.tif:2022,6.622E-6,135.932,104.155,172.123,179.354,0.042
2,BETPOP_GR_5A_P3_guides.tif:2021,2.264E-5,130.082,99.361,179.675,-179.749,0.144
3,BETPOP_GR_5A_P3_guides.tif:2020,4.462E-5,132.050,85.080,180.598,-179.554,0.283
4,BETPOP_GR_5A_P3_guides.tif:2019,4.045E-5,132.551,108.349,166.775,179.930,0.257
5,BETPOP_GR_5A_P3_guides.tif:2018,8.531E-6,117.234,82.240,166.962,179.666,0.054
6,BETPOP_GR_5A_P3_guides.tif:2022,1.337E-5,139.785,85.000,178.577,56.842,0.085
7,BETPOP_GR_5A_P3_guides.tif:2021,3.564E-5,137.915,85.000,179.637,57.428,0.226
8,BETPOP_GR_5A_P3_guides.tif:2020,4.367E-5,139.018,112.117,167.179,57.249,0.277
9,BETPOP_GR_5A_P3_guides.tif:2019,2.468E-5,119.481,85.188,158.701,57.365,0.157
10,BETPOP_GR_5A_P3_guides.tif:2018,1.017E-5,113.684,76.656,150.261,56.776,0.064
11,BETPOP_GR_5A_P3_guides.tif:2022,7.787E-6,104.777,85.000,160.508,-57.122,0.049
12,BETPOP_GR_5A_P3_guides.tif:2021,3.001E-5,117.881,85.048,177.646,-57.362,0.190
13,BETPOP_GR_5A_P3_guides.tif:2020,4.905E-5,127.602,85.000,182.139,-57.307,0.311
14,BETPOP_GR_5A_P3_guides.tif:2019,2.996E-5,121.339,85.000,163.042,-57.179,0.190
15,BETPOP_GR_5A_P3_guides.tif:2018,9.027E-6,117.830,80.020,153.303,-56.923,0.057
16,BETPOP_GR_5A_P3_guides.tif:2023,4.910E-6,126.018,96.528,155.522,-57.195,0.031
17,BETPOP_GR_5A_P3_guides.tif:2023,6.150E-6,125.442,105.301,169.554,4.185,0.039
18,BETPOP_GR_5A_P3_guides.tif:2023,7.167E-6,134.020,85.000,167.541,-122.974,0.045
